Record_ID,Order_ID,Order_ID_Duplicate_Flag,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount,Sales_Amount,Order_Date,Order_Year,Order_Month,City,Segment,Profit,Profit_Flag
16,1015,True,Julie Fox,Shoes,Sneakers,6,2666.22,0.54,7358.77,2024-12-19,2024,12,Ahmedabad,B2B,793.8,OK
17,1016,False,Valerie Garner,T-Shirts,Crop Top,4,2001.55,0.5,4003.1,2024-10-26,2024,10,Hyderabad,B2B,1881.89,OK
18,1017,False,Alejandro Johnson,T-Shirts,Oversized T-shirt,3,468.53,0.5,702.8,2024-12-28,2024,12,Mumbai,B2B,-195.65,Negative
19,1018,True,Andrew Washington,Dresses,Maxi Dress,4,2731.64,0.5,5463.28,2024-04-13,2024,4,Bengaluru,B2C,2102.56,OK
20,1019,False,Mark Allison,Dresses,Casual Midi,4,4064.4,0.7,4877.28,2024-10-22,2024,10,Ahmedabad,B2C,877.21,OK
21,1020,True,Russell Eaton,Jeans,Boyfriend Jeans,1,3008.66,0.44,1684.85,2025-03-19,2025,3,Pune,B2B,669.75,OK
22,1021,True,Amber Bowman,Dresses,Wrap Dress,3,2765.26,0.5,4147.89,2024-05-05,2024,5,Bengaluru,B2B,-705.72,Negative
23,1031,True,Lauren Jensen,Dresses,Wrap Dress,3,1872.05,0.15,4773.73,2025-05-27,2025,5,Pune,B2C,-863.9,Negative
24,1023,False,David Arnold,Shoes,Slip-ons,4,2538.04,0.54,4669.99,2024-12-28,2024,12,Mumbai,B2B,-875.51,Negative
25,1024,True,Thomas Long,Jackets,Puffer Coat,4,2579.8,0.54,4746.83,2025-02-19,2025,2,Delhi,B2B,491.1,OK
26,1025,True,Christine Reed,Jeans,Straight Cut,4,4595.08,0.44,10292.98,2025-07-18,2025,7,Bengaluru,B2B,330.82,OK
27,1026,True,Colton Baxter,Accessories,Sunglasses,3,2577.64,0.51,3789.13,2024-12-21,2024,12,Ahmedabad,B2B,-194.77,Negative
28,1027,True,Rebecca Dorsey,Accessories,Belts,1,2515.42,0.51,1232.56,2024-12-24,2024,12,Hyderabad,B2B,1085.36,OK
29,1028,True,Felicia Orozco,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2024-12-24,2024,12,Hyderabad,B2B,2060.03,OK
30,1029,True,Terry Anderson,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2024-12-28,2024,12,Mumbai,B2B,1737.92,OK
31,1030,True,Brandi Jones,Dresses,Maxi Dress,3,1069.77,0.5,1604.66,2023-09-03,2023,9,Hyderabad,B2C,1155.38,OK
32,1031,True,William Williams,Dresses,Wrap Dress,4,2765.26,0.5,5530.52,2025-01-31,2025,1,Bengaluru,B2B,-960.24,Negative
33,1032,True,Kim Harris,Jeans,Boyfriend Jeans,3,2182.01,0.44,3665.78,2025-01-25,2025,1,Delhi,B2B,1377.61,OK
34,1033,True,Jonathan Neal,Jeans,Straight Cut,4,2891.64,0.44,6477.27,2024-11-13,2024,11,Hyderabad,B2B,903.69,OK
35,1034,True,Nathan Stewart,Jackets,Puffer Coat,4,4449.36,0.94,1067.85,2025-07-13,2025,7,Delhi,B2B,-282.68,Negative
36,1035,True,Joshua Thomas,Jackets,Bomber Jacket,3,2229.49,0.94,401.31,2024-12-19,2024,12,Ahmedabad,B2C,-199.18,Negative
37,1036,True,Connie Cunningham,T-Shirts,Graphic Tee,4,2721.83,0.5,5443.66,2024-04-06,2024,4,Ahmedabad,B2B,1213.95,OK
38,1037,True,Amy Martin,Accessories,Sunglasses,2,2577.64,0.51,2526.09,2024-12-19,2024,12,Ahmedabad,B2B,907.77,OK
39,1038,True,Courtney Riddle,T-Shirts,Crop Top,3,1692.38,0.5,2538.57,2024-01-20,2024,1,Bengaluru,B2C,1704.49,OK
40,1039,True,Ashley Ramirez,Shoes,Boots,3,1372.16,0.56,1811.25,2025-05-20,2025,5,Hyderabad,B2C,1626.51,OK
41,1040,True,Angel Nelson,Jackets,Denim Jacket,3,2537.59,0.54,3501.87,2024-11-15,2024,11,Ahmedabad,B2C,693.6,OK
42,1041,False,Teresa Chavez,Jackets,Puffer Coat,4,2579.8,0.54,4746.83,2025-03-07,2025,3,Ahmedabad,B2C,-983.06,Negative
43,1042,True,Richard Williams,Dresses,Bodycon,4,2889.54,0.5,5779.08,2025-04-12,2025,4,Pune,B2B,283.39,OK
44,1043,True,Deborah Walker,T-Shirts,Graphic Tee,4,4575.93,0.56,8053.64,2025-04-05,2025,4,Ahmedabad,B2B,442.14,OK
45,1044,True,Elizabeth Williams,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2024-09-12,2024,9,Bengaluru,B2B,-80.23,Negative
46,1045,True,Connie Mills,Accessories,Sunglasses,3,3477.16,0.51,5111.43,2025-02-10,2025,2,Hyderabad,B2B,1323.75,OK
47,1046,True,Charlotte Cook,Jeans,Slim Fit Jeans,4,2441.92,0.92,781.41,2024-12-21,2024,12,Delhi,B2B,1004.91,Review
48,1047,True,Matthew Thompson,Jeans,Straight Cut,3,2891.64,0.44,4857.96,2025-06-12,2025,6,Hyderabad,B2C,-395.76,Negative
49,1048,True,James Hughes,Jeans,Straight Cut,5,2891.64,0.41,8530.34,2024-10-16,2024,10,Delhi,B2B,2409.26,OK
50,1049,True,Kimberly Anderson,T-Shirts,Graphic Tee,4,2599.75,0.5,5199.5,2024-12-28,2024,12,Mumbai,B2C,19.87,OK
51,1050,True,Matthew Schmidt,Jeans,Slim Fit Jeans,4,1083.16,0.44,2426.28,2025-07-08,2025,7,Pune,B2C,2904.29,Review
52,1051,False,Eric Wilson,Jeans,Boyfriend Jeans,3,3008.66,0.57,3881.17,2025-04-26,2025,4,Delhi,B2C,2857.9,OK
53,1052,False,Zachary Ramos,Jeans,Ripped Denim,5,3252.49,0.56,7155.48,2023-12-08,2023,12,Bengaluru,B2B,-11.15,Negative
54,1053,False,Debra Pollard,Dresses,Maxi Dress,3,714.23,0.5,1071.34,2025-07-21,2025,7,Delhi,B2B,1057.24,OK
55,1054,False,Angela Martinez,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2025-02-12,2025,2,Pune,B2B,1002.96,OK
56,1055,False,Brett Burch,Jeans,Boyfriend Jeans,3,3008.66,0.44,5054.55,2024-03-02,2024,3,Pune,B2B,1374.9,OK
57,1056,False,Jennifer English,Accessories,Sunglasses,6,2577.64,0.51,7578.26,2025-07-11,2025,7,Mumbai,B2C,-343.36,Negative
58,1057,False,Penny Campbell,Jackets,Puffer Coat,4,2579.8,0.04,9906.43,2024-12-23,2024,12,Pune,B2B,1725.76,OK
59,1058,False,Karen Garcia,T-Shirts,Oversized T-shirt,3,3982.53,0.5,5973.8,2024-08-14,2024,8,Pune,B2C,1912.49,OK
60,1059,False,John Ramos,Jeans,Boyfriend Jeans,3,2927.57,0.19,7114.0,2024-12-21,2024,12,Delhi,B2B,2218.42,OK
61,1060,False,Dylan Roberson,Jeans,Ripped Denim,5,2813.51,0.44,7877.83,2025-07-14,2025,7,Pune,B2B,94.96,OK
62,1061,False,Kelsey Reyes,Accessories,Belts,3,2291.15,0.33,4605.21,2024-11-05,2024,11,Mumbai,B2B,2536.3,OK
63,1062,False,Larry Gibson,Jeans,Ripped Denim,5,2750.33,0.44,7700.92,2025-01-03,2025,1,Pune,B2C,328.72,OK
64,1063,False,Kristin Ho,T-Shirts,Graphic Tee,1,2599.75,0.5,1299.88,2025-06-28,2025,6,Bengaluru,B2C,2147.75,Review
65,1064,False,Jessica Johnston,Jackets,Denim Jacket,3,2537.59,0.54,3501.87,2024-11-28,2024,11,Bengaluru,B2B,-901.74,Negative
66,1065,False,Amanda Parker,Jeans,Boyfriend Jeans,5,3008.66,0.44,8424.25,2024-05-28,2024,5,Bengaluru,B2B,2316.97,OK
67,1066,False,Joshua Figueroa,Shoes,Slip-ons,4,3479.44,0.54,6402.17,2025-01-15,2025,1,Delhi,B2B,-252.78,Negative
68,1067,False,Julie Howard,Dresses,Casual Midi,4,3945.25,0.5,7890.5,2025-06-30,2025,6,Bengaluru,B2B,305.55,OK
69,1068,False,Brandon Lin,Dresses,Wrap Dress,4,2765.26,0.5,5530.52,2024-12-19,2024,12,Ahmedabad,B2C,1719.9,OK
70,1069,False,Anna Allen,Accessories,Watches,2,2102.02,0.51,2059.98,2024-03-11,2024,3,Delhi,B2B,-992.61,Negative
71,1070,False,Kimberly Ho,Jackets,Leather Jacket,5,2752.99,0.54,6331.88,2025-04-06,2025,4,Hyderabad,B2B,1383.48,OK
72,1071,False,Nancy White,Accessories,Sunglasses,3,1000.76,0.51,1471.12,2024-12-21,2024,12,Delhi,B2B,2131.43,Review
73,1072,False,Eric Salazar,Dresses,Maxi Dress,3,2731.64,0.5,4097.46,2024-11-28,2024,11,Bengaluru,B2C,2878.09,OK
74,1073,False,Michael Williamson,Jeans,Straight Cut,4,2891.64,0.18,9484.58,2025-01-03,2025,1,Pune,B2B,368.69,OK
75,1074,False,Lynn Morales,Dresses,Casual Midi,4,2975.64,0.5,5951.28,2025-01-25,2025,1,Hyderabad,B2B,192.91,OK
76,1075,False,Jennifer Horn,T-Shirts,Crop Top,4,795.85,0.5,1591.7,2025-01-03,2025,1,Pune,B2B,2418.8,Review
77,1076,False,Lori Preston,T-Shirts,Oversized T-shirt,2,3027.66,0.5,3027.66,2025-01-07,2025,1,Bengaluru,B2B,1408.61,OK
78,1077,False,Gabriel Parrish,T-Shirts,Oversized T-shirt,2,3027.66,0.5,3027.66,2024-09-20,2024,9,Hyderabad,B2B,902.52,OK
79,1078,False,Debbie Raymond,Jackets,Leather Jacket,4,4059.56,0.54,7469.59,2025-02-13,2025,2,Pune,B2C,-819.94,Negative
80,1079,False,Cheryl Clark,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2024-12-24,2024,12,Hyderabad,B2B,-22.55,Negative
81,1080,False,Laura Thompson,T-Shirts,Crop Top,4,3872.22,0.5,7744.44,2024-12-28,2024,12,Mumbai,B2C,-302.97,Negative
82,1081,False,Mary Lin,Jeans,Boyfriend Jeans,6,4798.06,0.81,5469.79,2024-12-24,2024,12,Hyderabad,B2B,-361.78,Negative
83,1082,False,Nicholas White,Dresses,Bodycon,4,2889.54,0.5,5779.08,2024-11-28,2024,11,Bengaluru,B2B,712.91,OK
84,1083,False,Timothy Farmer,Jackets,Bomber Jacket,1,2229.49,0.54,1025.57,2025-01-03,2025,1,Pune,B2B,-612.62,Negative
85,1084,False,Kevin Martinez,Shoes,Loafers,4,2933.45,0.53,5514.89,2024-12-24,2024,12,Pune,B2B,2458.07,OK
86,1085,False,James Martinez,Shoes,Slip-ons,4,2538.04,0.02,9949.12,2023-10-18,2023,10,Pune,B2B,264.73,OK
87,1086,False,Douglas Nelson,Accessories,Sunglasses,3,948.33,0.46,1536.29,2025-03-16,2025,3,Bengaluru,B2C,-865.22,Negative
88,1087,False,Thomas Ramirez,Jeans,Ripped Denim,5,1976.75,0.81,1877.91,2025-07-08,2025,7,Mumbai,B2C,2790.95,Review
89,1088,False,David Faulkner,Accessories,Caps,4,3891.14,0.51,7626.63,2025-05-08,2025,5,Pune,B2C,1374.27,OK
90,1089,False,Dennis Ross,Shoes,Slip-ons,4,1412.17,0.88,677.84,2025-02-22,2025,2,Mumbai,B2B,-355.26,Negative
91,1090,False,Heather Arnold,Shoes,Slip-ons,5,2477.82,0.54,5698.99,2024-11-09,2024,11,Ahmedabad,B2C,-888.86,Negative
92,1091,False,David Bridges,Accessories,Belts,1,2515.42,0.51,1232.56,2023-07-28,2023,7,Delhi,B2B,156.43,OK
93,1092,False,Jennifer Keller,Dresses,Bodycon,4,2889.54,0.5,5779.08,2025-01-03,2025,1,Pune,B2B,1122.66,OK
94,1093,False,Amanda Myers,Dresses,Bodycon,4,2889.54,0.5,5779.08,2024-12-03,2024,12,Bengaluru,B2B,2966.76,OK
95,1094,False,Betty Middleton,Jackets,Denim Jacket,3,4741.41,0.54,6543.15,2024-12-28,2024,12,Mumbai,B2C,1901.7,OK
96,1035,True,Laura Porter,Accessories,Belts,3,2515.42,0.51,3697.67,2025-01-04,2025,1,Mumbai,B2C,1539.59,OK
97,1033,True,Carla Phillips,Accessories,Belts,3,421.92,0.51,620.22,2024-12-24,2024,12,Hyderabad,B2B,2969.19,Review
98,1097,False,Amber Smith,Accessories,Sunglasses,3,2577.64,0.51,3789.13,2025-01-18,2025,1,Mumbai,B2B,1141.15,OK
99,1098,False,Diana Jones,Accessories,Caps,4,4752.04,0.51,9314.0,2024-09-08,2024,9,Ahmedabad,B2C,129.37,OK
100,1099,False,Valerie Walker,Shoes,Loafers,4,2933.45,0.54,5397.55,2024-02-22,2024,2,Pune,B2B,300.02,OK
101,1100,False,Daniel Brown,Shoes,Boots,2,2011.73,0.54,1850.79,2024-12-30,2024,12,Hyderabad,B2C,2493.5,Review
102,1101,False,Stephen Smith,Jeans,Boyfriend Jeans,3,3008.66,0.22,7040.26,2025-03-04,2025,3,Pune,B2C,2962.73,OK
103,1102,False,Kimberly Walter,Jeans,Boyfriend Jeans,5,3008.66,0.44,8424.25,2025-04-15,2025,4,Hyderabad,B2B,2776.7,OK
104,1103,False,Brandon Webb,Dresses,Bodycon,5,1521.46,0.5,3803.65,2025-06-11,2025,6,Bengaluru,B2B,1713.47,OK
105,1104,False,Andrew Moreno,Dresses,Maxi Dress,3,2752.71,0.5,4129.07,2024-06-11,2024,6,Ahmedabad,B2B,1660.01,OK
106,1105,False,Willie Smith,Dresses,Maxi Dress,3,2731.64,0.5,4097.46,2024-12-19,2024,12,Ahmedabad,B2B,616.04,OK
107,1106,False,Evelyn Allison,Jeans,Boyfriend Jeans,3,3008.66,0.44,5054.55,2025-04-01,2025,4,Pune,B2C,53.28,OK
108,1107,False,Elizabeth Hood,Jeans,Straight Cut,4,4948.0,0.44,11083.52,2024-12-21,2024,12,Delhi,B2C,1064.86,OK
109,1036,True,Nathaniel Thomas,Jeans,Straight Cut,1,4601.44,0.44,2576.81,2024-12-16,2024,12,Mumbai,B2C,2145.66,OK
110,1109,False,Nicole Evans,Jeans,Ripped Denim,5,2750.33,0.44,7700.92,2025-05-02,2025,5,Hyderabad,B2C,2133.58,OK
111,1110,False,Michael Velasquez,Jeans,Slim Fit Jeans,4,2366.61,0.44,5301.21,2025-06-26,2025,6,Mumbai,B2C,2155.68,OK
112,1111,False,Tammy Gonzales,T-Shirts,Classic Tee,4,2765.79,0.5,5531.58,2024-12-19,2024,12,Ahmedabad,B2C,748.93,OK
113,1112,False,Sherry Shepard,Dresses,Casual Midi,4,1027.56,0.5,2055.12,2024-12-28,2024,12,Mumbai,B2B,1160.17,OK
114,1113,False,Derek Edwards,Jackets,Puffer Coat,4,3864.5,0.54,7110.68,2024-12-19,2024,12,Ahmedabad,B2C,-763.23,Negative
115,1114,False,Robert Williams,Dresses,Bodycon,6,568.61,0.2,2729.33,2025-02-18,2025,2,Delhi,B2C,-689.16,Negative
116,1115,False,Carolyn Nelson,Accessories,Belts,3,2515.42,0.51,3697.67,2025-06-18,2025,6,Ahmedabad,B2B,-624.26,Negative
117,1116,False,Olivia Jones,Jackets,Bomber Jacket,1,2229.49,0.54,1025.57,2025-03-02,2025,3,Delhi,B2C,1733.04,Review
118,1117,False,Molly Johnson,Jackets,Puffer Coat,4,3567.55,0.54,6564.29,2024-11-28,2024,11,Bengaluru,B2B,-455.6,Negative
119,1118,False,Jose Jackson,Accessories,Belts,3,2515.42,0.51,3697.67,2025-05-01,2025,5,Bengaluru,B2C,1039.53,OK
120,1119,False,Elizabeth Vega,Jeans,Ripped Denim,5,2750.33,0.44,7700.92,2025-05-14,2025,5,Mumbai,B2C,142.69,OK
121,1120,False,Angelica Gonzalez,Jackets,Puffer Coat,4,4709.0,0.54,8664.56,2025-05-05,2025,5,Ahmedabad,B2B,828.98,OK
122,1121,False,Henry Parker,Shoes,Boots,3,4109.6,0.42,7150.7,2025-01-03,2025,1,Pune,B2C,1422.36,OK
123,1122,False,Jennifer Lee,Jackets,Bomber Jacket,3,4745.03,0.4,8541.05,2024-12-28,2024,12,Mumbai,B2C,2658.02,OK
124,1123,False,Michael Clarke,Accessories,Caps,5,3978.76,0.51,9747.96,2024-04-11,2024,4,Ahmedabad,B2B,1494.78,OK
125,1002,True,Jessica Gibson,Jackets,Puffer Coat,1,2579.8,0.54,1186.71,2024-12-31,2024,12,Ahmedabad,B2B,2513.75,Review
126,1125,False,Jason Turner,Shoes,Boots,3,2385.57,0.54,3292.09,2024-12-21,2024,12,Delhi,B2B,-754.58,Negative
127,1126,False,Grant Munoz,Jeans,Boyfriend Jeans,2,3008.66,0.59,2467.1,2025-01-03,2025,1,Pune,B2C,1820.2,OK
128,1127,False,Rhonda Ray,Dresses,Bodycon,3,4843.44,0.07,13513.2,2024-08-07,2024,8,Ahmedabad,B2B,2881.91,OK
129,1128,False,Susan Anderson,T-Shirts,Oversized T-shirt,3,3027.66,0.43,5177.3,2024-12-24,2024,12,Hyderabad,B2B,-68.49,Negative
130,1129,False,Miranda Thomas,Jeans,Boyfriend Jeans,3,2412.36,0.23,5572.55,2025-06-27,2025,6,Mumbai,B2C,-668.36,Negative
131,1130,False,Samuel Miller,Accessories,Sunglasses,3,2577.64,0.51,3789.13,2024-12-21,2024,12,Delhi,B2B,2782.45,OK
132,1131,False,Grace Chavez,T-Shirts,Classic Tee,5,2765.79,0.99,138.29,2025-01-18,2025,1,Delhi,B2B,-941.56,Negative
133,1132,False,Andrew Carlson,Jackets,Bomber Jacket,3,2229.49,0.58,2809.16,2024-12-21,2024,12,Delhi,B2B,2043.57,OK
134,1133,False,Erin Williams,Dresses,Casual Midi,4,2975.64,0.6,4761.02,2024-12-19,2024,12,Ahmedabad,B2B,806.19,OK
135,1134,False,Melissa Jenkins,Dresses,Wrap Dress,3,2765.26,0.5,4147.89,2025-05-14,2025,5,Delhi,B2C,1101.19,OK
136,1135,False,Ronald Ballard,Shoes,Sneakers,4,1556.96,0.84,996.45,2024-10-23,2024,10,Mumbai,B2B,1432.84,Review
137,1136,False,Danielle Johnson,Jeans,Straight Cut,4,3658.42,0.47,7755.85,2024-01-27,2024,1,Mumbai,B2B,1897.33,OK
138,1137,False,Jason Moore,Shoes,Sneakers,4,4206.06,0.54,7739.15,2025-04-23,2025,4,Delhi,B2B,1161.76,OK
139,1138,False,Thomas Freeman,Dresses,Bodycon,4,2889.54,0.26,8553.04,2024-12-24,2024,12,Hyderabad,B2C,-658.58,Negative
140,1139,False,Katherine Reyes,T-Shirts,Graphic Tee,4,2599.75,0.21,8215.21,2024-10-28,2024,10,Bengaluru,B2B,-832.45,Negative
141,1140,False,Dawn Smith,Accessories,Belts,4,2515.42,0.51,4930.22,2024-08-13,2024,8,Hyderabad,B2B,-127.91,Negative
142,1141,False,Sarah Pacheco,T-Shirts,Graphic Tee,4,2599.75,0.5,5199.5,2024-04-19,2024,4,Delhi,B2C,429.67,OK
143,1142,False,Daniel Alvarez,Dresses,Bodycon,6,3004.58,0.5,9013.74,2024-02-22,2024,2,Hyderabad,B2C,-509.67,Negative
144,1143,False,Bernard Ramirez,Jackets,Denim Jacket,3,2537.59,0.54,3501.87,2025-05-05,2025,5,Bengaluru,B2B,816.49,OK
145,1144,False,Mrs. Julia Ramirez,Jeans,Slim Fit Jeans,4,2366.61,0.19,7667.82,2024-12-28,2024,12,Mumbai,B2C,2966.21,OK
146,1145,False,Jorge Anderson,T-Shirts,Graphic Tee,4,3607.9,0.94,865.9,2024-11-06,2024,11,Hyderabad,B2B,-171.58,Negative
147,1146,False,Jacqueline Jenkins,Accessories,Belts,3,2515.42,0.51,3697.67,2025-03-03,2025,3,Pune,B2C,-431.7,Negative
148,1147,False,Tracy Miller,Dresses,Casual Midi,4,2875.46,0.5,5750.92,2024-12-06,2024,12,Delhi,B2B,-794.99,Negative
149,1148,False,Travis Lopez,Accessories,Belts,3,2471.48,0.51,3633.08,2025-01-23,2025,1,Mumbai,B2C,2247.9,OK
150,1149,False,Steven Ortiz,Dresses,Bodycon,2,2889.54,0.5,2889.54,2024-10-05,2024,10,Hyderabad,B2B,562.69,OK
151,1150,False,Brittany Robinson,Accessories,Sunglasses,3,1554.9,0.51,2285.7,2024-10-17,2024,10,Ahmedabad,B2C,457.65,OK
152,1151,False,Joseph Allen,Jeans,Straight Cut,4,2266.44,0.33,6074.06,2025-07-17,2025,7,Pune,B2C,-655.45,Negative
153,1152,False,Matthew Deleon,Shoes,Slip-ons,1,2538.04,0.54,1167.5,2024-11-03,2024,11,Pune,B2B,454.45,OK
154,1153,False,Julia Evans,Accessories,Belts,1,478.59,0.51,234.51,2024-12-15,2024,12,Delhi,B2B,-681.2,Negative
155,1154,False,Robert Parks,Accessories,Watches,4,2785.79,0.51,5460.15,2024-10-10,2024,10,Bengaluru,B2C,52.85,OK
156,1155,False,Sean Small,Shoes,Slip-ons,4,2538.04,0.64,3654.78,2024-11-08,2024,11,Mumbai,B2B,2493.12,OK
157,1156,False,Jacob Moore,Dresses,Wrap Dress,3,2765.26,0.93,580.7,2024-12-21,2024,12,Delhi,B2B,1699.17,Review
158,1157,False,Dean Allen,Jeans,Ripped Denim,6,645.03,0.44,2167.3,2025-06-25,2025,6,Ahmedabad,B2C,2724.92,Review
159,1158,False,Vicki Jackson,Dresses,Wrap Dress,3,4516.08,0.5,6774.12,2025-07-06,2025,7,Delhi,B2B,2164.95,OK
160,1159,False,Robert Knox,Shoes,Sneakers,4,3335.18,0.09,12140.06,2024-12-19,2024,12,Ahmedabad,B2C,235.11,OK
161,1160,False,Ruben Oconnell,Dresses,Casual Midi,4,2975.64,0.77,2737.59,2024-11-11,2024,11,Hyderabad,B2B,-711.19,Negative
162,1161,False,Laura Gallegos,T-Shirts,Classic Tee,4,1801.91,0.5,3603.82,2024-03-01,2024,3,Mumbai,B2B,502.86,OK
163,1162,False,Christopher Harvey,Shoes,Boots,4,2385.57,0.14,8206.36,2024-11-25,2024,11,Mumbai,B2C,2566.05,OK
164,1163,False,Scott Hampton,Accessories,Sunglasses,3,1033.58,0.68,992.24,2025-01-09,2025,1,Bengaluru,B2C,-441.46,Negative
165,1164,False,Steven Ingram,Accessories,Sunglasses,5,2577.64,0.51,6315.22,2024-12-24,2024,12,Hyderabad,B2B,598.79,OK
166,1165,False,Joshua Jones,T-Shirts,Classic Tee,2,2765.79,0.08,5089.05,2024-10-04,2024,10,Bengaluru,B2B,-102.32,Negative
167,1166,False,Jennifer Johnson,Jackets,Bomber Jacket,3,2229.49,0.91,601.96,2023-08-27,2023,8,Ahmedabad,B2C,285.44,OK
168,1167,False,Robert Evans,T-Shirts,Oversized T-shirt,3,4595.9,0.09,12546.81,2025-05-14,2025,5,Bengaluru,B2B,-653.8,Negative
169,1168,False,Eugene Olson Jr.,Accessories,Sunglasses,3,3655.71,0.48,5702.91,2024-11-13,2024,11,Hyderabad,B2B,2024.15,OK
170,1169,False,Kristine Sexton,T-Shirts,Classic Tee,4,2948.26,0.9,1179.3,2025-01-03,2025,1,Pune,B2B,1285.15,Review
171,1170,False,Marc Hull,Jeans,Straight Cut,4,2891.64,0.76,2775.97,2024-12-21,2024,12,Delhi,B2C,-528.7,Negative
172,1171,False,Richard Johnson,Jeans,Straight Cut,1,2891.64,0.44,1619.32,2025-06-16,2025,6,Pune,B2B,2475.83,Review
173,1172,False,Diane Davis,Jackets,Puffer Coat,4,2719.32,0.54,5003.55,2025-05-02,2025,5,Hyderabad,B2C,655.1,OK
174,1173,False,Shaun Bush,Jeans,Boyfriend Jeans,3,4063.39,0.44,6826.5,2024-11-28,2024,11,Bengaluru,B2B,2034.39,OK
175,1174,False,Tiffany Flores,Jackets,Leather Jacket,6,4984.65,0.42,17346.58,2024-12-23,2024,12,Bengaluru,B2B,2931.32,OK
176,1175,False,Ashley Brown,Dresses,Casual Midi,3,2975.64,0.5,4463.46,2024-10-01,2024,10,Ahmedabad,B2C,728.61,OK
177,1176,False,Bailey Williamson,Jeans,Boyfriend Jeans,6,3008.66,0.87,2346.75,2024-12-28,2024,12,Mumbai,B2B,-879.15,Negative
178,1177,False,Elizabeth Torres,Jeans,Straight Cut,4,2426.13,0.44,5434.53,2025-03-30,2025,3,Ahmedabad,B2C,353.91,OK
179,1178,False,Joshua Anderson,T-Shirts,Crop Top,4,1204.59,0.5,2409.18,2024-12-24,2024,12,Hyderabad,B2B,2161.64,OK
180,1179,False,Kevin Allen,Jackets,Bomber Jacket,3,2229.49,0.54,3076.7,2025-04-04,2025,4,Mumbai,B2C,510.53,OK
181,1180,False,Michelle Moore,Dresses,Bodycon,6,2495.96,0.5,7487.88,2024-12-24,2024,12,Hyderabad,B2C,835.4,OK
182,1181,False,John Barber,Jackets,Bomber Jacket,3,2229.49,0.54,3076.7,2025-03-16,2025,3,Mumbai,B2B,2564.06,OK
183,1182,False,Andrew Mclaughlin,Jeans,Slim Fit Jeans,4,2366.61,0.44,5301.21,2024-08-06,2024,8,Pune,B2B,-747.25,Negative
184,1183,False,Sherry Ward,Accessories,Watches,6,2372.3,0.51,6974.56,2024-03-27,2024,3,Delhi,B2B,1888.87,OK
185,1184,False,Craig Farrell,Jeans,Ripped Denim,5,2697.1,0.44,7551.88,2025-06-21,2025,6,Delhi,B2B,1518.99,OK
